,TIME,DTIME,MML_STRESS_GUESS_XX,MML_STRESS_GUESS_YY,MML_STRESS_GUESS_ZZ,MML_STRESS_GUESS_XY,MML_STRESS_GUESS_YZ,MML_STRESS_GUESS_XZ,DELTA_EXX,DELTA_EYY,DELTA_EZZ,DELTA_EXY,DELTA_EYZ,DELTA_EXZ,TRIAL_STRESS_PRE_TRANS_XX,TRIAL_STRESS_PRE_TRANS_YY,TRIAL_STRESS_PRE_TRANS_ZZ,TRIAL_STRESS_PRE_TRANS_XY,TRIAL_STRESS_PRE_TRANS_YZ,TRIAL_STRESS_PRE_TRANS_XZ,DELTA_SXX,DELTA_SYY,DELTA_SZZ,DELTA_SXY,DELTA_SYZ,DELTA_SXZ,TRIAL_STRESS_POST_TRANS_XX,TRIAL_STRESS_POST_TRANS_YY,TRIAL_STRESS_POST_TRANS_ZZ,TRIAL_STRESS_PRE_TRANS_XY,TRIAL_STRESS_PRE_TRANS_YZ,TRIAL_STRESS_PRE_TRANS_XZ,CONV_STRESS_ISO_XX,CONV_STRESS_ISO_YY,CONV_STRESS_ISO_ZZ,CONV_STRESS_ISO_XY,CONV_STRESS_ISO_YZ,CONV_STRESS_ISO_XZ,FICT_SXX,FICT_SYY,FICT_SZZ,FICT_SXY,FICT_SYZ,FICT_SXZ,FICT_EP_XX,FICT_EP_YY,FICT_EP_ZZ,REAL_EP_XX,REAL_EP_YY,REAL_EP_ZZ,REAL_SXX,REAL_SYY,REAL_SZZ,REAL_SXY,REAL_SYZ,REAL_SXZ,S.VM
33,0,0.05,0,0,0,0,0,0,0.0005,-0.000249828,-0.000249825,0,0,0,3753.53126,-1871.588099,-1871.56127,0,0,0,3753.53126,-1871.588099,-1871.56127,0,0,0,-3740.719211,1693.580941,2057.520161,0,0,0,-3.598240438,6.64699963,7.333131161,0,0,0,-3.598240438,6.64699963,7.333131161,0,0,0,-0.000498168,0.000224873,0.000273295,0.000498952,-0.00024948,-0.000249472,10.53060654,-0.074410783,-0.074305407,0,0,0,10.60496464
34,0,0.05,0,0,0,0,0,0,0.0005,-0.000249821,-0.000249817,0,0,0,3753.642712,-1871.420754,-1871.393925,0,0,0,3753.642712,-1871.420754,-1871.393925,0,0,0,-3740.533293,1693.712861,2057.648465,0,0,0,-3.449522248,6.795712003,7.481843144,0,0,0,-3.449522248,6.795712003,7.481843144,0,0,0,-0.000498163,0.000224871,0.000273293,0.000498947,-0.000249477,-0.00024947,10.67931671,0.074305406,0.074410782,0,0,0,10.60495862
35,0,0.05,0,0,0,0,0,0,0.0005,-0.000249821,-0.000249832,0,0,0,3753.53126,-1871.532206,-1871.617164,0,0,0,3753.53126,-1871.532206,-1871.617164,0,0,0,-3740.722827,1693.638554,2057.466163,0,0,0,-3.598247256,6.647108247,7.333029358,0,0,0,-3.598247256,6.647108247,7.333029358,0,0,0,-0.000498169,0.00022488,0.000273288,0.000498952,-0.000249472,-0.00024948,10.53060654,-0.074305409,-0.074410784,0,0,0,10.60496464
36,0,0.05,0,0,0,0,0,0,0.0005,-0.000249821,-0.000249825,0,0,0,3753.586986,-1871.47648,-1871.505544,0,0,0,3753.586986,-1871.47648,-1871.505544,0,0,0,-3740.62806,1693.675707,2057.557314,0,0,0,-3.523884751,6.721410127,7.407436253,0,0,0,-3.523884751,6.721410127,7.407436253,0,0,0,-0.000498166,0.000224875,0.00027329,0.000498949,-0.000249475,-0.000249475,10.60496163,5.33E-10,5.32E-10,0,0,0,10.60496163
37,0,0.05,0,0,0,0,0,0,0.0005,-0.000249821,-0.000249825,0,0,0,3753.586986,-1871.47648,-1871.505544,0,0,0,3753.586986,-1871.47648,-1871.505544,0,0,0,-3740.62806,1693.675707,2057.557314,0,0,0,4983.09549,4993.145686,4993.818704,0,0,0,4983.09549,4993.145686,4993.818704,0,0,0,-0.000331893,0.000149818,0.000182076,0.000332415,-0.000166209,-0.000166207,4996.955323,4986.552261,4986.552297,0,0,0,10.40304363
38,0,0.05,0,0,0,0,0,0,0.0005,-0.000249814,-0.000249825,0,0,0,3753.642712,-1871.364861,-1871.449818,0,0,0,3753.642712,-1871.364861,-1871.449818,0,0,0,-3740.536909,1693.770474,2057.594468,0,0,0,-3.449529063,6.795820624,7.481741344,0,0,0,-3.449529063,6.795820624,7.481741344,0,0,0,-0.000498164,0.000224878,0.000273285,0.000498947,-0.00024947,-0.000249477,10.67931671,0.074410784,0.074305408,0,0,0,10.60495862
39,0,0.05,0,0,0,0,0,0,0.0005,-0.000249828,-0.000249825,0,0,0,3753.53126,-1871.588099,-1871.56127,0,0,0,3753.53126,-1871.588099,-1871.56127,0,0,0,-3740.719211,1693.580941,2057.520161,0,0,0,-3.598240438,6.64699963,7.333131161,0,0,0,-3.598240438,6.64699963,7.333131161,0,0,0,-0.000498168,0.000224873,0.000273295,0.000498952,-0.00024948,-0.000249472,10.53060654,-0.074410783,-0.074305407,0,0,0,10.60496464
40,0,0.05,0,0,0,0,0,0,0.0005,-0.000249821,-0.000249817,0,0,0,3753.642712,-1871.420754,-1871.393925,0,0,0,3753.642712,-1871.420754,-1871.393925,0,0,0,-3740.533293,1693.712861,2057.648465,0,0,0,-3.449522247,6.795712004,7.481843145,0,0,0,-3.449522247,6.795712004,7.481843145,0,0,0,-0.000498163,0.000224871,0.000273293,0.000498947,-0.000249477,-0.00024947,10.67931671,0.074305407,0.074410783,0,0,0,10.60495862
41,0,0.05,0,0,0,0,0,0,0.0005,-0.000249821,-0.000249832,0,0,0,3753.53126,-1871.532206,-1871.617164,0,0,0,3753.53126,-1871.532206,-1871.617164,0,0,0,-3740.722827,1693.638554,2057.466163,0,0,0,-3.598247255,6.647108248,7.333029359,0,0,0,-3.598247255,6.647108248,7.333029359,0,0,0,-0.000498169,0.00022488,0.000273288,0.000498952,-0.000249472,-0.00024948,10.53060654,-0.074305408,-0.074410783,0,0,0,10.60496464
42,0,0.05,0,0,0,0,0,0,0.0005,-0.000249821,-0.000249825,0,0,0,3753.586986,-1871.47648,-1871.505544,0,0,0,3753.586986,-1871.47648,-1871.505544,0,0,0,-3740.62806,1693.675707,2057.557314,0,0,0,-3.523884752,6.721410126,7.407436252,0,0,0,-3.523884752,6.721410126,7.407436252,0,0,0,-0.000498166,0.000224875,0.00027329,0.000498949,-0.000249475,-0.000249475,10.60496163,-5.78E-10,-5.77E-10,0,0,0,10.60496163
43,0,0.05,0,0,0,0,0,0,0.0005,-0.000249821,-0.000249825,0,0,0,3753.586986,-1871.47648,-1871.505544,0,0,0,3753.586986,-1871.47648,-1871.505544,0,0,0,-3740.62806,1693.675707,2057.557314,0,0,0,4983.09549,4993.145686,4993.818704,0,0,0,4983.09549,4993.145686,4993.818704,0,0,0,-0.000331893,0.000149818,0.000182076,0.000332415,-0.000166209,-0.000166207,4996.955323,4986.552261,4986.552297,0,0,0,10.40304363
44,0,0.05,0,0,0,0,0,0,0.0005,-0.000249814,-0.000249825,0,0,0,3753.642712,-1871.364861,-1871.449818,0,0,0,3753.642712,-1871.364861,-1871.449818,0,0,0,-3740.536909,1693.770474,2057.594468,0,0,0,-3.449529064,6.795820622,7.481741343,0,0,0,-3.449529064,6.795820622,7.481741343,0,0,0,-0.000498164,0.000224878,0.000273285,0.000498947,-0.00024947,-0.000249477,10.67931671,0.074410783,0.074305406,0,0,0,10.60495862
45,0,0.05,0,0,0,0,0,0,0.0005,-0.000249828,-0.000249825,0,0,0,3753.53126,-1871.588099,-1871.56127,0,0,0,3753.53126,-1871.588099,-1871.56127,0,0,0,-3740.719211,1693.580941,2057.520161,0,0,0,-3.598240438,6.64699963,7.333131161,0,0,0,-3.598240438,6.64699963,7.333131161,0,0,0,-0.000498168,0.000224873,0.000273295,0.000498952,-0.00024948,-0.000249472,10.53060654,-0.074410783,-0.074305407,0,0,0,10.60496464
46,0,0.05,0,0,0,0,0,0,0.0005,-0.000249821,-0.000249817,0,0,0,3753.642712,-1871.420754,-1871.393925,0,0,0,3753.642712,-1871.420754,-1871.393925,0,0,0,-3740.533293,1693.712861,2057.648465,0,0,0,-3.449522248,6.795712003,7.481843144,0,0,0,-3.449522248,6.795712003,7.481843144,0,0,0,-0.000498163,0.000224871,0.000273293,0.000498947,-0.000249477,-0.00024947,10.67931671,0.074305406,0.074410782,0,0,0,10.60495862
47,0,0.05,0,0,0,0,0,0,0.0005,-0.000249821,-0.000249832,0,0,0,3753.53126,-1871.532206,-1871.617164,0,0,0,3753.53126,-1871.532206,-1871.617164,0,0,0,-3740.722827,1693.638554,2057.466163,0,0,0,-3.598247256,6.647108247,7.333029358,0,0,0,-3.598247256,6.647108247,7.333029358,0,0,0,-0.000498169,0.00022488,0.000273288,0.000498952,-0.000249472,-0.00024948,10.53060654,-0.074305409,-0.074410784,0,0,0,10.60496464
